,Questions,Afghanistan,Brazil,Colombia,Ghana,India,Indonesia,Kenya,Malaysia,Mexico,Morocco,Nigeria,Pakistan,Peru,Philippines,Russia,South Africa,West Africa
,Use of Agents,,,,,,,,,,,,,,,,,
1,What is the relevant regulation on use of agents/ outsourcing?,"Money Service Providers Regulation, 2009","Resolution CMN 2640/1999, Resolution CMN 2707/2000, Circular 2978/2000, Resolution CMN 2953/2002, Resolution CMN 3110/2003, Resolution CMN 3156/2003, Resolution CMN 3517/2007; Resolution CMN 3568/2008, Resolution 3654/2008 ",Agency Law (august 2006); Decree 2233/2006; Decree 2965/2006; Decree 303/2007; Decree 1121/2009,"Notice No. BG/GOV/SEC/2008/21 (Guidelines for Branchless Banking), Bank of Ghana","Reserve Bank of India (RBI), Circular DBOD.No.BL.BC. 58/22.01.001/2005-2006, ""Financial Inclusion by Extension of Banking Services - Use of Business Facilitators and Correspondents"" (BCs), January 25, 2006; RBI, Circular DBOD.No.BL.BC. 72/22.01.001/2005-2006, ""Financial Inclusion by Extension of Banking Services - Use of Business Facilitators and Correspondents"", March 22, 2006; RBI, Circular DBOD.No.BP. 40/21.04.158/2006-2006, ""Guidelines on Managing Risks and Code of Conduct in Outsourcing of Financial Services by Banks"", November 3, 2006; RBI, Circular DBOD.No.BL.BC. 129/22.01.009/2008-2009, ""Financial Inclusion by Extension of Banking Services - Use of BFs and BCs"", April 24, 2009; RBI, Circular DBOD.No.BL.BC. 63/22.01.009/2009-10, ""Financial Inclusion by Extension of Banking Services - Use of BCs"", November 30, 2009.","There is no specific regulation in Indonesia that deals with bank agents. The Banking Act stipulates that any party taking deposits from the public shall have a license from Bank Indonesia to operate as a commercial bank or a rural bank [Article 16 of Act 7 of 1992 concerning banking, as amended by Act 10 of 1998]. [Source: Update on Regulation of Branchless Banking in Indonesia, CGAP, January 2010]","Guideline on Agent Banking (GAB) - CBK/PG/15, issued under Section 33(4) of the Banking Act",N/A,"General Provisions Applicable to Credit Institutions, 2005; Law on Credit Institutions, 1999","Banking Law, 1993; Arrêté du Ministre des Finances et de la Privatisation n° 1510.07; Lettre Circulaire n°05 /DSB/2007; Circulaire du Gouverneur de Bank Al-Maghrib n° 37/G/2007.","Guidelines for Electronic Banking in Nigeria, 2003; Regulatory Framework for Mobile Payment Systems in Nigeria, 2009","Branchless Banking Regulations (BBR), State Bank of Pakistan (SBP), 2008; Guidelines on Outsourcing Arrangements (GOA), SBP, 2007.","Resolution Nº 775-2008, Superintendencia de Banca, Seguros y AFP.
","Circular No. 471, Series of 2005, Office of the Governor, Bangko Sentral ng Pilipinas (for non-banks). Circular No. 268, Series of 2000, Office of the Governor, Bangko Sentral ng Pilipinas (for Banks).","Federal Law No. 121-FZ of June 3, 2009, ""Concerning Activities Involving the Acceptance of Payments from Physical Persons Which Are Carried Out by Payment Agents"" (for credit organizations); Federal Law No. 103-FZ of June 3, 2009, ""Concerning Receiving Payments From Natural Persons Pursued by Payment Agents"" (for non-credit organizations and individual entrepreneurs)",Banks Act (No. 94 of 1990); Banks Act Circular 14/2004 (on outsourcing of functions within banks).,"Loi Bancaire Uniforme, 1990 (Banking Law)."
2,What kind of institutions can appoint/use agents?,"A ""licensee"" can authorize agents ""to operate a business engaged in the provision of money services on [its] behalf"". It can mean any ""individual or legal entity that has been granted a license to provide money services"" [Money Service Providers Regulation, 2.3.1, (b) and (u)].","The contracting of ""correspondents"" is allowed to all ""financial institutions and other institutions authorized to operate by the Central Bank of Brazil"" [Resolution 3156/03, Art. 1]","""Credit institutions""(namely banking institutions, financial corporations, commercial finance companies and financial cooperatives) [Decree 2233/2006, Article 2].","""Deposit-taking financial institutions"" can [Guidelines for Branchless Banking, Section ""Scope""]",Banks.,"According to Bank Indonesia's interpretation, banks are not permitted to use agents to accept funds from the public as such activity would be considered deposit-taking, requiring the agent to have a banking license. However, banks are permitted, as e-money issuers, to use agents to upload value to e-money accounts. In addition, banks may provide limited payment services to existing customers at ""payment points"" [Source: Update on Regulation of Branchless Banking in Indonesia, CGAP, January 2010] In the case of e-money activities, an e-money ""Issuer can cooperate with a Trader or another party as agent in providing Electronic Money Replenishment and Cash Value Withdrawal facilities"" [E-Money Circular, VII, D]. Cf. point 32 for the nature of the issuer. Finally, money transferors are not permitted to use agents to engage in money transfers activities, but only through their own networks or through a network provided by an operator [Money Transfer Circular, Article 3].","Any ""institution may conduct banking business through an agent"" [Guideline on Agent Banking , 2.1.1]. ""Institution"" has the meaning described under the Banking Act, as ""a bank or financial institution or a mortgage finance company"" [Banking Act as amended through 2010, Part I, 2.]",N/A,,"The intermediary activity can take place only between two entities one of which, at least, is a credit institution [Banking Law, Art. 121]","E-money issuers may appoint agents and subagents. [Regulatory Framework for Mobile Payment Systems in Nigeria, Section 5.1.1] “Agents are not restricted to any one scheme operator (They can serve as agents to multiple operators).” [Regulatory Framework for Mobile Payment Systems in Nigeria, 5.2.2.6]
","""Authorized Financial Institutions"" [i.e. financial institutions authorized by State Bank of Pakistan to undertake branchless banking activities, Branchless Banking Regulations, Section 2] may engage third-party agents ""in performing some of the activities that are traditionally performed in bank branches by bank staff"" [Branchless Banking Regulations, Section 6]. These financial institutions may include commercial banks, Islamic banks, microfinance banks and Development financial Institutions [Guidelines on Outsourcing Arrangements, II]","""Multiple transaction enterprises, specialized enterprises and insurance companies"" [Resolution nº 775-2008, Section 1].",,Credit organizations [Law No. 121-FZ]; non-credit organizations and entrepreneurs [Law No. 103-FZ] ,"Banks [Banks Act, Section 1(1)].","Banks or financial institutions [Banking Law, Art. 66]."
3,Who may or may not act as an agent?,"An ""authorized e-money agents"" may be ""a legal entity or individual"" [Money Service Providers Regulation, 2.3.1, (c)]. ""To the greatest extent possible, without being a requirement, an EMI should utilize DAB-licensed or permitted financial institutions (banks, branches of foreign banks, DMFIs, and MSPs) as agents"" [Money Service Providers Regulation, 2.5.9., 2.].","All legal entities, ""enterprises, which may or may not form part of the National Financial System"" are allowed ""to perform the functions of correspondent in Brazil"" [Resolution 3156/03, Art. 1]. They cannot contract enterprises whose principal or sole activity is provision of correspondent services. [Resolution 3156/03, Art. 2].","Any type of legal entity, including saving and credit cooperatives, may with prior SFC (Superintendencia Financiera de Colombia) authorization act as agents. Decree 2233/2006 allows banks and commercial finance companies to use agents. Decree 303/2007 and Decree 2965/2006 extended the permission to brokers and credit cooperatives, respectively.","Branchless banking can be ""undertaken by licensed deposit-taking financial institutions (bank and non-bank) or their agents"". These agents include ""Telcos, Fuel distribution companies, Merchants, Post Office, etc."" [Guidelines for Branchless Banking, Section ""Branchless Banking Models and Activities""]. The Guidelines contemplate agents of different types. ""Super Agents"" are well-established retail outlets or distributors (e.g., fuel distribution companies, Pakistan Post, courier companies, etc.) that contract with the bank and that are responsible for any ""Sub Agent"". ""Direct Agents"" contract with the financial institution and may include large to medium-sized stores [Guidelines for Branchless Banking, Section ""Agent Structure""]","Permissible Banking Correspondents include non-profit institutions, post offices, cooperatives [citer premiere regulation] as well as individual ""kirana""/medical/fair price shop owners, individual Public Call Office (PCO) operators, individuals who are petrol pump owners, agents of small savings/insurance schemes, retired teachers and functionaries of well-run Self Help Groups (SHGs) linked to banks [RBI, DBOB.No.BL.BC. 63/22.01.009/2009-10, 2.], located within a maximum distance of 30 kms from the bank branch [RBI, DBOB.No.BL.BC.129.22.01.009/2008-2009, 24 April 2009]. NBFCs are not entitled to act as BCs [RBI, DBOB.No.BL.BC. 72/22.01.009/2005-2006]","An e-money issuer may cooperate ""with another party which is an Institution Other Than Bank to act as remitting agent and/or receiving agent (including a
party that provides Cash Withdrawal service)"", providing that ""the other party must first also obtain a license as an organizer of money remittance business activity or transfer of funds from Bank Indonesia"" [E-Money Circular, VII, F, 3.]","The following entities are eligible for appointment as agents under the Guideline on Agent Banking: (a) Limited liability companies; (b) Sole proprietorships; (c) Partnerships; (d) Societies; (e) Cooperative societies; (f) State corporations; (g) Trusts; (h) Public entities; (i) Any other entity which the Central Bank may describe. [Guideline on Agent Banking  4.2.3] Furthermore, ""any entity which is faith-based or not-for-profit, a non-governmental organization, an educational institution, forex bureau [...] shall not engage in agent banking business"" [Guideline on Agent Banking , 4.2.4]",N/A,"Legal entities, including other credit institutions, foreign and national financial entities, and individuals [General Provisions Applicable to Credit Institutions, Chapter X, Section 1, article 317].
Agents should have a permanent establishment and sufficient capacity to properly operate electronic devices, prove to have the necessary infrastructure to carry out processing banking operations, and demonstrate good reputation and business credit history [General Provisions Applicable to Credit Institutions, Annex 57].
Some restrictions are imposed on the type of entity depending on the services to be provided.
","An entity engaged as a regular ""intermediary in banking operations"" must be established as a limited company with fixed capital [Arrêté n° 1510.07, Art. 1].","Service providers or vendors (individual or corporate body/registered business). The bank must evaluate their reputation, financial status and viability, as well as their ability to support all or part of their Electronic systems beforehand. [Guidelines for Electronic Banking in Nigeria, Section 1.6, a. and c.]
","Agents do not include ""third party service providers who provide certain technical services to banks […]. However there is no restriction on a third party technology provider to become a branchless banking agent provided it meets the criteria for becoming an agent""  [Branchless Banking Regulations, Section 6]. The Branchless Banking Regulations contemplate agents of different types. ""Super Agents"" are well-established retail outlets or distributors (e.g., fuel distribution companies, Pakistan Post, courier companies, etc.) that contract with the bank and that are responsible for any ""Sub Agent"". ""Direct Agents"" contract with the financial institution and may include large to medium-sized stores [Branchless Banking Regulations, Section 6.2]","Banking agents (cajeros corresponsales) are ""individuals or legal entities operating either in their own establishments or those of third parties, other than those of the financial system"" [Resolution nº 775-2008, Section 3].","Qualified persons or non-bank institutions wishing to act as foreign exchange dealers (FXDs)/money changers (MCs) and/or remittance agents (RAs) are required to register with the Central Bank of the Philippines (BSP) before they can operate as such. RAs in this case, refers to agents that remit, transfer or transmit money on behalf of any person to another person and/or entity. [Section 1, Circular No. 471, Series of 2005, Office of the Governor, Bangko Sentral ng Pilipinas].  Banks are prohibited from outsourcing inherent banking functions, including servicing of deposit transactions. [Section 2.1, Circular No. 268, Series of 2000, Office of the Governor, Bangko Sentral ng Pilipinas].","Credit organizations can appoint “an organization which is not a credit organization or a private entrepreneur” to act as a “bank payment agent” [Law No. 121-FZ, Art. 1(1)]. Non-credit organizations and entrepreneurs can appoint “a legal entity” to act as “payment office operator” [Law No. 103-FZ, Art. 2(4)]. The latter may also engage any legal entities or individual entrepreneurs as “payment subagent” [Law No. 103-FZ, Art. 2(5)].  Both “payment office operators” and “payment subagents” are referred to as “payment agents ”.
","Any person can act as a bank's agent [Banks Act, Section 1(1)].","Any person or entity whose profession, as principal or accessory activity, is to provide business or transactions to banks and financial institutions [Banking Law, Art. 66]."
4,Can agents accept cash?,"Yes. An authorized e-money agent may ""perform e-money account opening, cash-in, and cash-out services for customers of the [E-money Institution]"" [Money Service Providers Regulation, 2.1.3., (c)].","Yes, as the functions of correspondent in Brazil include, among others, receiving and forwarding proposals for opening sight deposit accounts, term deposit accounts and saving accounts as well as receipts and payments relative to these accounts; contributions and withdrawals in investment funds. [Resolution 3110/03, Art. 1]","Agents may provide most banking services, including ""1. Collection, payment and transfer of funds. 2. Sending or receiving of money orders in Colombian currency within the national territory. 3. Deposits and withdrawals in cash for checking accounts, saving accounts, and certificated of deposit, as well as transfers of funds affecting said accounts. 4. Balance checks on checking or savings accounts. 5. Issuance of statements. 6. Disbursements and payments in cash for active loan transactions"" [Decree 1121/2009, Article 1, amending Article 2 of Decree 2233 of 2006]","Yes. Permissible activities to be undertaken by agents include: (a) opening and maintaining Branchless Banking accounts; (b) account-to-account and person-to-person fund transfers; (c) cash-in and cash-out; (d) bill payments; (e) merchant payments; (f) loan disbursement/repayment [Guidelines for Branchless Banking, Section ""Permissible Activities""]","Yes, Business Correspondents can conduct a variety of services: (i) identification of borrowers, (ii) collection and preliminary processing of loan applications including verification of primary info/data, (iii) creating awareness about savings and other products and education and advice about managing money and debt counselling, (iv) processing and submission of applications to banks, (v) post-sanction monitoring, (vi) disbursal of small-value credit, (vii) recovery of principal and collection of interest, (vii) collection of small-value deposits, (viii) sale of micro insurance and other third-party products, and (ix) receipt and delivery of small value remittances and other payment instruments [RBI, DBOD.No.BL.BC. 58/22.01.001/2005-2006, 3.2.]","Yes, e-money issuers are permitted to use agents for uploading value to e-money accounts (i.e. cash in) [E-Money Circular, VII, F.]","Yes. An agent may provide the following banking services, among others: (a) Cash deposit and cash withdrawal; (b) Cash disbursement and cash repayment of loans; (c) Cash payment of bills, salaries, retirement and social benefits; (d) Transfer of funds; (e) Agent mobile phone banking services; (f) Balance enquiry, issuance of mini bank statements, collection of documents as well as debit and credit cards, etc. [Guideline on Agent Banking , 4.4.1]",N/A,"Yes. Permissible activities for agents include: payments (including remittances), cash-in/out services, loan repayment, account balance and movements [General Provisions Applicable to Credit Institutions, Chapter X, Section 2, article 319].","Yes. They can receive and transfers funds within and/or outside Morocco [Lettre Circulaire n°05 /DSB/2007, Art. 1].","Agents can engage in mobile payment services: Enrolment of customers; Deposit; Withdrawal/Cash-out [Regulatory Framework for Mobile Payment Systems in Nigeria, Section 5.2.1.1]","Yes. Agents can open Level 1 accounts, provide cash-in/cash-out services, offer bill payment services, and disburse and collect loans [Branchless Banking Regulations, Section 6.1] Level 1 accounts are subject to balance and transaction limits: the maximum balance is capped at Rs. 60,000, and the maximum throughputs are Rs. 10,000 per day, Rs 20,000 per month and Rs. 120,000 per year [Branchless Banking Regulations, Section 4]","Yes, ""banking agents may be used to collect loans, […] transfer funds, make deposits in cash in own or third-party accounts, pay for services and make collections in general"" [Resolution nº 775-2008, Annex C, I., 3.]","Remittance Agents, Money Changers and Foreign Exchange Dealers may [Section 1, Circular No. 471, Series of 2005, Office of the Governor, Bangko Sentral ng Pilipinas]","Bank payment agents can (i) Accept cash funds from individuals as payment for goods, works or services; (ii) Credit cash funds to individuals' bank accounts; (iii) Conduct operations with the use of payment cards [Law No. 121-FZ, Art. 1(1)].
Payment agents can accepting cash funds from individuals “as payment for goods, works or services (including community charges) to be further transferred to the supplier of such goods, works or services” [Law No. 103-FZ, Art. 3(1)].
","Yes. The Banks Act allows a bank to contract agents ""to receive on its behalf from its clients any deposits, money due to it or applications for loans or advances, or to take payments to such clients on its behalf"" [Banks Act, Section 1(1)]",
5,Can agents disburse cash?,"Yes, authorized e-money agents perform cash-out services [Money Service Providers Regulation, 2.1.3., (c)].","Yes, correspondents' functions in Brazil include withdrawals [Resolution 3110/03, Art. 1].","Agents' permissible activities include ""withdrawals in cash for checking accounts, saving accounts"" as well as ""disbursements and payments in cash for active loan transactions"" [Decree 1121/2009, Article 1, amending Article 2 of Decree 2233 of 2006]","Yes, agents can perform cash-out services [Guidelines for Branchless Banking, Section ""Permissible Activities""]","Yes, Business Correspondents can conduct disburse small-value credit and deliver small value remittances and other payment instruments [RBI, DBOD.No.BL.BC. 58/22.01.001/2005-2006, 3.2.]","If an e-money issuer want to use an agent to offer money transfers and cash out services, ""the Issuer’s Agent is obliged to obtain a license as business activity administrator of money remittance in accordance with prevailing regulation"" [E-Money Circular, VII, D.]","Yes, agents may disburse cash [Guideline on Agent Banking , 4.4.1]",N/A,"Yes, agents can perform cash-out [General Provisions Applicable to Credit Institutions, Chapter X, Section 2, article 319].","Yes [Lettre Circulaire n°05 /DSB/2007, Art. 1].","Yes [Regulatory Framework for Mobile Payment Systems in Nigeria, Section 5.2.1.1].","Yes. Agents can provide cash-out services and disburse loans [Branchless Banking Regulations, Section 6.1]","Yes, ""banking agents may be used to [...] withdraw money, [...] as well as perform other services that the enterprise is authorized to provide to the satisfaction of [SBS]"" [Resolution nº 775-2008, Annex C, I. 3.]","Remittance Agents, Money Changers and Foreign Exchange Dealers may [Section 1, Circular No. 471, Series of 2005, Office of the Governor, Bangko Sentral ng Pilipinas]","No [Law No. 121-FZ, Art. 1(1) and Law No. 103-FZ, Art. 3(1)].",Not mentioned,
6,"Can agents transfer funds electronically? If so, to whom?","Yes, as e-money is stored in ""an electronic device or server"" [Money Service Providers Regulation, 2.1.3., (k)].","Circular 2953/02 authorizes the contracting institutions ""to open and manage deposit accounts exclusively by electronic means"" [Art. 3, amending Article 1 of Resolution 2817 of February 22, 2001]","Yes. ""Operations conducted by correspondents shall be done only and exclusively on computer terminals connected online to the websites of the corresponding credit institutions"" [Decree 1121/2009, Second paragraph]","Yes. They might use ""technologies not limited to mobile phone (like GPRS, POS terminals, etc.)"" [GGB, ""Branchless Banking Models and Activities""]",,"Yes, as they are dealing with e-money (as an electronic payment instrument) [E-Money Regulation, article 1, 3.]","Yes. ""All transactions involving deposit, withdrawal, payment or transfer of cash from or to an account shall be real time"" and banks have to ensure that ""agents are able to carry out real time transactions"" [GAB, 7.1.1 and 7.1.2]. Real time is defined as ""the electronic processing of transactional data instantaneously upon data entry to receipt of a command"" [Guideline on Agent Banking, 1.4]",N/A,,"Not mentioned, but I guess they may since they can transfer cross-border funds.","Yes [Regulatory Framework for Mobile Payment Systems in Nigeria, Section 5.2.1.1].","Not mentioned specifically, but it seems like yes, since there are several information/data security standards required for Level 1 accounts (that might be opened by agents) [BBR, Section 8.3.1] Besides, in its definition of “Electronic Fund Transfer”, BBR mean ""any transfer of funds, other than a transaction originated by cheque, draft or similar paper instrument, [...] so as to order, instruct, or authorize a Financial Institution or any other company or person to debit or credit an Account"" [BBR, Section 2]","Yes, banking agents may perform their operations through ""electronic terminals connected to the enterprise"" [Resolution nº 775-2008, Annex C, I. 3.]","No specific regulation. E-Money regulation allows for transfers by banks, non-bank financial institutions, and non-bank institutions that are registered as transfer agents [Circular No. 649 Series of 2009, Office of the Governor, Bangko Sentral ng Pilipinas]","Yes. Bank payment agents may accept payments through payment terminals (for cash payments) or automated teller machines (ATMs) (for cash and cashless payments) [Law No. 121-FZ, Art. 1(1)]. ""While receiving payments payment agents are entitled to use payment terminals."" [Law No. 103-FZ, Art. 6(1)]. Payment terminals mean ""a device whereby a payment agent receives amounts of money from payers, such device operating in an automatic mode without the participation of an empowered representative of the payment agent."" [Law No. 103-FZ, Art. 2(6)]. ",Not mentioned,
7,Can they make payments to utilities or third parties?,"Yes. Authorized e-money agents serve customers who use an EMI ""to make or receive small payments and/or to store value"" [Money Service Providers Regulation, 2.1.3., (h)].","Yes, they are allowed the ""execution of payment orders on behalf of the contracting institution"" [Resolution 3110/03]","Yes, agents may provide payment services [Decree 1121/2009, Article 1, amending Article 2 of Decree 2233 of 2006]","Yes. Agents can perform bill payments and merchant payments services. [Guidelines for Branchless Banking, Section ""Permissible Activities""]",,,"Yes, agents may process cash payment of bills, salaries, retirement and social benefits [Guideline on Agent Banking, 4.4.1]",N/A,"Yes, agents can make payments [General Provisions Applicable to Credit Institutions, Chapter X, Section 2, article 319].",Not mentioned.,"Yes [Regulatory Framework for Mobile Payment Systems in Nigeria, Section 5.2.1.1].","Yes. Agents can offer bill payment services [Branchless Banking Regulations, Section 6.1]","Yes, ""banking agents may be used to [...] pay for services"" [Resolution nº 775-2008, Annex C, I. 3.]",N/A,"Yes, “as payment for goods, works or services (including community charges) to be further transferred to the supplier of such goods, works or services” [Law No. 121-FZ, Art. 1(1) and Law No. 103-FZ, Art. 3(1)].","Yes, agents can take payments on behalf of the bank [Banks Act, Section 1(1)].",
8,Can they conduct KYC procedures?,"Yes, as ""the EMI is responsible for ensuring that its authorized e-money agents have received training on
their AML/CFT responsibilities, including customer acceptance and customer identification"" [Money Service Providers Regulation, 2.5.9., 3.].","Authorized correspondents may review a clients' data, on the financial institution's behalf, deemed necessary to open/maintain a deposit account [Circular 2953/2002, Art. 1].","Yes, the ""correspondents may act as authorized third parties for carrying out the necessary procedures […], such as the interviews required for acceptance of clients"" [Decree 1121/2009, Third paragraph]","Yes, as ""all customers of Financial institutions undertaking BB activities must be uniquely identifies"" [Guidelines for Branchless Banking, Section ""Branchless Banking Models and Activities""]. Besides, agents can open BB accounts [Guidelines for Branchless Banking, Section ""Permissible Activities""]","Yes, Business Correspondents can conduct a variety of services, including (i) identification of borrowers and (ii) collection and preliminary processing of loan applications including verification of primary info/data [RBI, DBOD.No.BL.BC. 58/22.01.001/2005-2006, 3.2.].",,"Not sure. In the case of mobile phone banking, one of the permissible activities for an agent is account opening [Guideline on Agent Banking, 4.4.1, xi].",N/A,"Yes. Low transaction accounts and low risk accounts account opening can be achieved at a banking agent. [Source: CNBV Presentation: KYC and CDD reduced requirements for low risk scenarios, February 2010].","Intermediaries in banking operations must verify the identity of those who initiated or benefited from fund transfers [Lettre Circulaire n°05 /DSB/2007, Art. 12]. The elements allowing the identification are (a) name, (b) number of National Identity Card, (c) address, and (d) name of the company if applicable [Lettre Circulaire n°05 /DSB/2007, Art. 13].","Agents can enrol customers [Regulatory Framework for Mobile Payment Systems in Nigeria, Section 5.2.1.1].","Yes. KYC procedures conducted by agents include: filling and signing an account opening application form. Verifying and copying of the Computerized National Identity Card (CNIC), at least one personal face-to-face contact with a designed employee of the financial institution or a biometric fingerprint scan and a digital photo taken by an agent [Branchless Banking Regulations, Section 4].","Yes, as banking agents shall have sufficient training to conduct ""proper identification of customers"" [Resolution nº 775-2008, Annex C, I., 5.]","RAs, MCs and FXDs may (non-banks). Not clear whether bank agents may [Circular No. 471, Series of 2005, Office of the Governor, Bangko Sentral ng Pilipinas]","Banking payment agents are required to identify payers in cases provided by the anti-money laundering rules [Law No. 121-FZ, Art. 1(1)]. A ""payment operator shall identify the natural person who is making a payment"" [Law No. 103-FZ, Art. 4(6)]. ",Not mentioned.,
9,Is there a financial service they are prohibited from providing?,"""A licensee of any of his agents"" may provide services indicated on his license [Money Service Providers Regulation, 2.3.2.]. A licensed money service provider may not engage in any of the following activities: (i) using other than DAB’s official record books for recording customer and transaction information; (ii) acceptance of deposits; (iii) foreign exchange transactions; (iv) granting of loans; (v) including in its name words such as bank, financial institution, investment company, trading company, real estate or any other word indicative of activities other than as a money service provider; (vi) payment system operations; (vii) securities services; (viii) securities transfer systems [Money Service Providers Regulation, 2.3.3.]. ","Resolution 3110/03 prohibits the rendering of services, including the opening of deposit accounts, the transactions of such accounts, and deposits and withdrawal in investment funds, whose main or only activity is to operate as a correspondent [Art. 2] Furthermore, agents cannot give cash advances to clients, guarantee transactions or charge extra fees [Resolution 3110/03, Art. 4, IV]","Agents cannot (i) operate if the communication with the financial institution fails, (ii) grant loans without authorization of the financial institution; (iii) charge extra fees; (iv) offer any guarantee to bank clients, or (v) offer financial services without an agency contract with a financial institution"" [Source: Update on Regulation of Branchless Banking in Colombia, CGAP, January 2010].","""[Branchless Banking] Agents cannot be involved in marketing, sales of any other products of the bank (including but not limited to consumer products, liability products, etc.)"". Besides, agents cannot be involved into loan marketing and approval functions, and they ""may not alter/change charges/fees provided by the bank in any way"" [Guidelines for Branchless Banking, Section ""Role of Agents""]","Business Correspondents are prohibited from ""charging any fee to the customers directly for services rendered by them on behalf of the bank"" [RBI, DBOD.No.BL.BC. 58/22.01.001/2005-2006, 4.] Banks are also prohibited from outsourcing core management functions, including internal audit and decision-making functions (such as loan approval and determining compliance with KYC norms for opening deposit accounts) [Guidelines on Managing Risks and Code of Conduct in Outsourcing of Financial Services by Banks, Annex, 2].",,"Prohibited activities include, among others: (a) Operating or carrying out an electronic transaction when there is communication failure in the system; (b) Charging any fees directly to the customers: (c) Offering any type of guarantee; (d) Offering banking services on their own accord; (e) Providing services not specifically permitted in the agency contract; (f) Undertaking cheque deposit and encashment of cheques; (g) Transacting in foreign currency [GAB, 4.4.1]",N/A,"Agents are prohibited from charging additional fees and tying the provision of service to the purchase of its own products or services [General Provisions Applicable to Credit Institutions, Chapter X, Section 2, article 324, VIII(e)].","All transactions performed by intermediaries must relate only to transfers between physical persons. Transfers initiated by legal persons for individuals must remain exceptional and result in documented justification [Lettre Circulaire n°05 /DSB/2007, Art. 2]
The funds transfer operations shall not exceed a maximum of DH 80,000.00 per transaction and per beneficiary [Lettre Circulaire n°05 /DSB/2007, Art. 3].",,"Agents cannot be involved in ""loan marketing/approval functions"" [Branchless Banking Regulations, Section 6.1]. Besides, ""the agent will not perform management functions, make management decisions, or act or appear to act in a capacity equivalent to that of a member of management or an employee of the FI"" [Section 6.4, IV]","""Under no circumstances may deposit accounts be opened or new loan operations of any kind be negotiated. The transactions conducted through banking agents must involve automatic deposits and/or withdrawals on accounts and/or credit lines, as the case may be, which do not require reconciliations or verifications other than those performed in electronic terminals connected to the enterprise"" [Resolution nº 775-2008, Annex C, i., 3.]","Bank agents are prohibited from servicing deposit transactions [Section 2.1, Circular No. 268, Series of 2000, Office of the Governor, Bangko Sentral ng Pilipinas].","Payment agents are prohibited from receiving payments without agency contract [Law No. 103-FZ, Art. 4(11) and Law No. 121-FZ, Art. 1(1)] and ""without the use of cash registers and without the issuance of [compliant] cash receipts"" [Law No. 103-FZ, Art. 8]. It is also prohibited to use ""devices other than payment terminals for receiving natural persons' payments without the participation of an empowered representative of a payment agent"" [Law No. 103-FZ, Art. 6(6)].",Not mentioned,
